,flight,points,lat,lon,alt,time,speed
0,fl0,0,52.06875769748198,-0.623886520633018,150,46768,6.8237191115516715
1,fl0,1,52.06506088847746,-0.6313298614418983,150,46775,6.8237191115516715
2,fl0,2,52.06080989930225,-0.6362115906270194,150,46782,6.8237191115516715
3,fl0,3,52.05697718428146,-0.6417131752691629,150,46789,6.8237191115516715
4,fl0,4,52.05473142114424,-0.6477654417122558,150,46796,6.8237191115516715
5,fl0,5,52.05108139945149,-0.6525026201142237,150,46818,6.8237191115516715
6,fl0,6,52.04568227618874,-0.6528966240795575,150,46850,6.8237191115516715
7,fl0,7,52.04318267259811,-0.6621199803079492,150,46882,6.8237191115516715
8,fl0,8,52.04259211287716,-0.6718195577663011,150,46914,6.8237191115516715
9,fl0,9,52.04219643160135,-0.6782068604446789,150,46936,6.8237191115516715
10,fl0,10,52.04088242831843,-0.6841032534144431,150,46968,6.8237191115516715
11,fl0,11,52.04090191245446,-0.6911741233334123,150,47000,6.8237191115516715
12,fl0,12,52.03874339508415,-0.6990953033976566,150,47032,6.8237191115516715
13,fl0,13,52.03777006810863,-0.7048550972819678,150,47054,6.8237191115516715
14,fl0,14,52.03731047526957,-0.708832115129443,150,47076,6.8237191115516715
15,fl0,15,52.03701384562057,-0.7142662631632091,150,47098,6.8237191115516715
16,fl0,16,52.03567809607851,-0.7215718282163153,150,47130,6.8237191115516715
17,fl0,17,52.03613329792334,-0.7306760964377712,150,47152,6.8237191115516715
18,fl0,18,52.03537911856947,-0.7370858979731065,150,47184,6.8237191115516715
19,fl0,19,52.03324925436824,-0.742312626211723,150,47216,6.8237191115516715
20,fl0,20,52.03238247039684,-0.7465899846032331,150,47238,6.8237191115516715
21,fl0,21,52.03430406036665,-0.7501239934975568,150,47270,6.8237191115516715
22,fl0,22,52.03666606981861,-0.7541901252728289,150,47302,6.8237191115516715
23,fl0,23,52.03482933139891,-0.7592782867264292,150,47324,6.8237191115516715
24,fl0,24,52.0336680181205,-0.7637302029430537,150,47346,6.8237191115516715
25,fl0,25,52.03413405260252,-0.769254534776338,150,47368,6.8237191115516715
26,fl0,26,52.03492481403502,-0.7727772235563457,150,47390,6.8237191115516715
